founded_at,funding_rounds,funding_total_usd,milestones,lat,lng,relationships,status
2007,5.0,125371133.0,1.0,30.4277547,-9.5981072,2.0,1
2008,5.0,125371133.0,1.0,22.307158800000003,73.1812187,4.0,1
2008,5.0,125371133.0,1.0,35.686975200000006,-105.937799,2.0,1
2008,5.0,125371133.0,1.0,33.0786552,-116.6019637,3.0,1
2007,5.0,68069200.0,1.0,37.7749295,-122.4194155,14.0,1
2011,5.0,125371133.0,1.0,49.0504377,-122.3044697,2.0,1
2011,5.0,125371133.0,1.0,37.7749295,-122.4194155,4.0,1
2009,5.0,125371133.0,1.0,37.7749295,-122.4194155,2.0,1
2012,5.0,125371133.0,4.0,36.0318578,-84.02765500000001,3.0,1
2005,5.0,125371133.0,1.0,41.8781136,-87.62979820000001,4.0,1
2004,5.0,125371133.0,1.0,-35.2962556,139.038277,1.0,1
2006,5.0,125371133.0,1.0,35.2270869,-80.8431267,4.0,1
2008,5.0,125371133.0,1.0,35.6092261,139.7301861,1.0,1
2008,5.0,125371133.0,1.0,52.3702157,4.895167900000001,4.0,1
2007,5.0,125371133.0,1.0,37.7749295,-122.4194155,4.0,1
2011,5.0,125371133.0,1.0,41.1953739,-73.4378988,4.0,1
2007,5.0,125371133.0,1.0,12.9715987,77.5945627,2.0,1
2006,5.0,125371133.0,1.0,30.0444196,31.235711600000005,1.0,1
2008,5.0,125371133.0,1.0,32.0852999,34.7817676,2.0,1
1983,5.0,125371133.0,1.0,43.071755200000005,-70.7625532,1.0,1
2007,5.0,125371133.0,1.0,42.4894801,-83.1446485,3.0,1
2001,5.0,125371133.0,1.0,42.633424700000006,-71.3161718,3.0,1
2008,5.0,125371133.0,1.0,51.5073509,-0.1277583,3.0,1
1986,5.0,125371133.0,1.0,41.3253756,-72.1931338,1.0,2
2004,5.0,125371133.0,1.0,13.7563309,100.5017651,1.0,1
2005,7.0,121500000.0,3.0,42.3600825,-71.0588801,45.0,2
2008,5.0,125371133.0,1.0,33.3061605,-111.8412502,4.0,1
2004,5.0,125371133.0,1.0,40.9445428,-74.0754189,4.0,1
2008,5.0,125371133.0,3.0,37.8590937,-122.4852507,5.0,1
2007,5.0,125371133.0,2.0,40.7127753,-74.0059728,10.0,1
2011,5.0,125371133.0,1.0,48.2081743,16.3738189,2.0,1
2011,5.0,125371133.0,1.0,32.5631924,-97.1416768,2.0,1
2008,5.0,125371133.0,1.0,51.896891700000005,-8.486315699999999,5.0,1
1998,5.0,125371133.0,1.0,52.4739306,6.068175800000001,2.0,1
2006,5.0,125371133.0,1.0,53.8007554,-1.5490774,1.0,1
2008,5.0,125371133.0,1.0,37.8043637,-122.27111370000002,1.0,1
1978,5.0,125371133.0,1.0,34.0380784,-84.58157170000001,4.0,1
2004,5.0,125371133.0,1.0,51.41233,-0.300689,1.0,1
2010,5.0,125371133.0,1.0,52.3702157,4.895167900000001,2.0,1
2007,5.0,125371133.0,1.0,37.7749295,-122.4194155,2.0,1
2011,5.0,125371133.0,1.0,41.223,-111.9738304,3.0,1
1999,5.0,125371133.0,1.0,31.8087678,-85.969951,3.0,1
1978,5.0,125371133.0,1.0,37.4418834,-122.1430195,5.0,1
2008,5.0,125371133.0,1.0,33.158093300000004,-117.3505939,3.0,1
2001,5.0,125371133.0,1.0,26.7153424,-80.0533746,4.0,1
2006,5.0,125371133.0,1.0,29.9988312,-95.2621553,4.0,1
2006,5.0,46400000.0,2.0,42.3600825,-71.0588801,20.0,1
2008,5.0,125371133.0,1.0,32.715738,-117.1610838,2.0,3
2008,5.0,125371133.0,1.0,37.7749295,-122.4194155,3.0,1
2011,5.0,125371133.0,1.0,40.8584328,-74.16375529999999,4.0,1
2007,5.0,125371133.0,1.0,22.5957689,88.2636394,4.0,1
2007,5.0,125371133.0,3.0,37.7749295,-122.4194155,8.0,1
2007,5.0,125371133.0,1.0,39.926813,-75.0246312,4.0,1
2006,5.0,125371133.0,1.0,-23.5505199,-46.6333094,4.0,1
2010,5.0,125371133.0,1.0,26.1275862,-80.23310359999999,5.0,1
2002,5.0,125371133.0,1.0,37.7749295,-122.4194155,3.0,2
1971,5.0,125371133.0,3.0,40.7127753,-74.0059728,23.0,1
2007,5.0,125371133.0,1.0,26.3683064,-80.1289321,2.0,1
1979,5.0,125371133.0,1.0,54.978252000000005,-1.61778,4.0,1
2008,5.0,125371133.0,1.0,51.5073509,-0.1277583,3.0,1
2011,5.0,125371133.0,1.0,37.3860517,-122.0838511,2.0,1
2011,5.0,125371133.0,1.0,40.2968979,-111.69464750000002,3.0,1
2011,5.0,125371133.0,1.0,27.950575,-82.4571776,3.0,1
2001,5.0,125371133.0,1.0,32.7766642,-96.7969879,1.0,1
2011,5.0,125371133.0,1.0,1.352083,103.819836,2.0,2
2008,5.0,125371133.0,3.0,37.4418834,-122.1430195,4.0,1
2008,5.0,125371133.0,1.0,39.9525839,-75.1652215,1.0,1
